Sentence,Aspect,Polarity
đc cái thái_độ nc thân_thiện đàng_hoàng nên thôi ko tính .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"gọi thịt nướng thì hôi , dai , tôm thì cháy .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'negative'}]
"giá_cả cũng phải_chăng nữa , với khoảng tầm k người là bạn đã có một bữa ăn ngon và rất thịnh_soạn rồi .",['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'positive'}]
vị trà sữa không có gì đặc_biệt nhưng quán trang_trí siêu cool nên vẫn thích đến đây .,"['DRINKS#QUALITY', 'AMBIENCE#GENERAL']","[{'DRINKS#QUALITY': 'neutral'}, {'AMBIENCE#GENERAL': 'positive'}]"
"đi cuối tuần nên quán cũng đông nữa , may mua về nhiều nên cũng có chỗ ngồi .",['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'neutral'}]
"nhìn_chung quán khá tốt , giá_cả hợp_lý so với địa_điểm và không_gian , chỉ có_điều là quán lúc_nào cũng đông nên nếu đi hơi đông thì hay hết bàn .","['RESTAURANT#GENERAL', 'RESTAURANT#PRICES']","[{'RESTAURANT#GENERAL': 'positive'}, {'RESTAURANT#PRICES': 'positive'}]"
mình sẽ còn ghé quán ăn dài_dài .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
"vị thì chả đậm_đà lắm , ko có gì đặc_biệt mà phải","['FOOD#QUALITY', 'FOOD#PRICES']","[{'FOOD#QUALITY': 'negative'}, {'FOOD#PRICES': 'negative'}]"
"🧀 vị_trí nằm ngay mặt đường quán thánh , nổi_bật một màu nâu rất dễ để_ý .","['LOCATION#GENERAL', 'RESTAURANT#MISCELLANEOUS']","[{'LOCATION#GENERAL': 'positive'}, {'RESTAURANT#MISCELLANEOUS': 'positive'}]"
"ấn_tượng ở đây là chất_lượng sản_phẩm cực_kỳ đảm_bảo , tớ ăn bao_nhiêu lần mà chẳng bao_giờ chê được chút nào cơ .",['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
"lâu rồi mới ăn lại bên chewy , thấy có nhiều chtrinh khuyến_mãi lắm , đợt mình đi là sinh_nhật chewy nên đc tung xúc_xắc giảm .",['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'positive'}]
không có gì để chê về quán hết luôn đó .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
"phục_vụ khá tốt , vui_vẻ thân_thiện .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
bạn nào mê sầu_riêng chắc sẽ thích bánh này lắm lắm .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"có sự kín_đáo đúng của người nhật nên từ ngoài nhìn vào sẽ thấy bức tường ngăn_cách , ko nhìn được bàn_ghế , nhà_hàng bên trong đâu .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
sợi hủ_tiếu thì mềm với có_thể xin được rau thêm là giá và tần ô .,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
"giá này thật_ra thấy cũng hơi đắt , nhưng chất_lượng ngon nên cũng oke , chỉ là ko ăn thường_xuyên .","['FOOD#PRICES', 'FOOD#QUALITY']","[{'FOOD#PRICES': 'negative'}, {'FOOD#QUALITY': 'positive'}]"
dưng mà dường_như vị trà xanh này có_vẻ k hạp với báh lắm làm mình ăn cứ cảm_thấy ngang_ngang .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'neutral'}]
dù khách đông nhưng vẫn không thấy ồn_ào .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
"ly vừa cỡ trở lên đã đủ thứ thạch các loại , còn ly to thì no căng luôn .","['DRINKS#PRICES', 'DRINKS#STYLE&OPTIONS']","[{'DRINKS#PRICES': 'neutral'}, {'DRINKS#STYLE&OPTIONS': 'positive'}]"
"nc lẩu tomyum đúng chuẩn vị , có màu sữa và rất vừa ăn .","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'positive'}, {'FOOD#STYLE&OPTIONS': 'neutral'}]"
không_gian cực_kì sang_trọng và lãng_mạn .,['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
giá vừa_phải chấp_nhận dc .,['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'neutral'}]
"lần trc đi buổi tối , nay đi buổi trưa , khách vắng hơn nhưng đồ_ăn vẫn đầy_đủ ê_hề ko bị cắt_xén bớt í hí hí .","['FOOD#STYLE&OPTIONS', 'RESTAURANT#GENERAL']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'RESTAURANT#GENERAL': 'neutral'}]"
chi_nhánh bên này khá nhỏ nên dễ bị ồn nhưng trang_trí rất đẹp .,['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'neutral'}]
"nói_chung đều ổn , thịt bò ngon , mềm , ăn thăn ngoại nên kiểu thịt mềm , không bị khô , vào miệng tan ra luôn ak .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
cả đám mình có ăn ở kingbbq sư vạn_hạnh mình ăn đây lần thứ và cug ăn_ở kingbbq khác nhiều rồi .,['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'neutral'}]
"hương thơm dễ_chịu lắm lắm luôn , , , .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
"thời_gian tầm phút từ lúc đặt đến lúc lấy , chứng_tỏ đá tiệm cho cũng không nhiều .","['SERVICE#GENERAL', 'DRINKS#STYLE&OPTIONS']","[{'SERVICE#GENERAL': 'neutral'}, {'DRINKS#STYLE&OPTIONS': 'negative'}]"
"mình gọi mi lô đá , nước_ngọt pepsi và kem ốc quế .",['DRINKS#STYLE&OPTIONS'],[{'DRINKS#STYLE&OPTIONS': 'neutral'}]
thái_độ quá côn_đồ và vô_học .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
đợt này có giảm_giá cho các loại thịt mỹ nên mới tranh_thủ đi ăn cho biết .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'positive'}]
sốt ngon nên thôi ko để_ý lắm .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"rồi phải đợi món quá lâu , vô lúc h mà h chưa đem bánh lên , minh nhắc thì mới đem lên một cái , còn toast lava thì mình thấy lâu quá mới nhắc thì tầm ph sau nữa mới có , tổng_cộng ph mới có đủ món , nhưng ko có kèm một câu xin_lỗi vì chậm_trễ gì cả , dịch_vụ quá tệ .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
lúc order bạn nhân_viên hỏi mình là có muốn giảm ngọt không .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'neutral'}]
"ăn tối cùng bạn gái , gọi phần steak love lạng cùng mì ý hải_sản sợi tròn , sprite và soda chanh đường , tráng_miệng mỗi người bánh cream brulee .",['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
"thịt bò mềm , sauce ngon , sides phong_phú ngon , giá_cả hợp_lý .","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","[{'FOOD#QUALITY': 'positive'}, {'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#PRICES': 'positive'}]"
nói_chung các món ở đây đều rất ấn_tượng cả decor các món cũng đặc_biệt và vị cũng ngon .,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'positive'}, {'FOOD#STYLE&OPTIONS': 'positive'}]"
"bò mềm , muốn tan trong miệng luôn .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"trà sữa ok , nhưng ko ngon bằng trà đào .",['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
mình thấy quán ở địa_chỉ này ok nhất so với những chi_nhánh khác mình từng ăn_ở phan xích long và sư vạn_hạnh .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
bún và nước được cho vào bát riêng nước được đun từ sương cá nên ăn đến đâu ngấm vị đậm_đà của cá đến đấy .,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'positive'}, {'FOOD#STYLE&OPTIONS': 'neutral'}]"
đồ_ăn có suất chả cá thường và có cả loại chả cá kèm lòng cá .,"['FOOD#PRICES', 'FOOD#STYLE&OPTIONS']","[{'FOOD#PRICES': 'neutral'}, {'FOOD#STYLE&OPTIONS': 'neutral'}]"
tuy_nhiên cũng rất vừa uống .,['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
ngon cực_kì .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
chưa thấy quán nào tệ như quán này .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'negative'}]
dành cho những_ai thích ăn đồ việt kiểu lịch_sự hoặc cần tiếp khách nè .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
"nói_chung thì ngon ko có gì bàn về chất_lượng nhiều , có cái nv ở đó hơi bị đơ , kiểu nhìn bực bực .","['RESTAURANT#GENERAL', 'SERVICE#GENERAL']","[{'RESTAURANT#GENERAL': 'positive'}, {'SERVICE#GENERAL': 'negative'}]"
ngoài_ra còn có_thể gọi thêm đồ_ăn thêm có menu riêng giá khá là hợp_lí a .,"['FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#PRICES': 'positive'}]"
mình đi lúc đang khuyến_mãi ly mừng khai_trương .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'positive'}]
"nhân_viên phục_vụ ổn , món ra khá nhanh , đúng yêu_cầu .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"quán k rộng lắm , được cái thoáng mát và lạnh .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'neutral'}]
"xe gửi sau quán , có tính tiền mà bnhiu ko biết tại k trả .",['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'neutral'}]
có đồ cho khách ăn thử .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
"mình ăn nhiều chi_nhánh của osaka rồi , từ d , nguyễn_hồng_đào , phổ quang .",['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'neutral'}]
à mà ở đây không có chỉnh đường đá nha .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'neutral'}]
còn tớ thì có_thể sẽ đến lần nữa để ăn sạch quán hị hị .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
"bò thấm ướp đậm_đà , chị chủ làm ngon hơn mấy anh , ko bị quá nhiều mỡ .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
mình gọi mocha cooler và cookie đá xay .,['DRINKS#STYLE&OPTIONS'],[{'DRINKS#STYLE&OPTIONS': 'neutral'}]
mình đến đây hay gọi cả bánh cả nước vì trà sữa ở đây uống vừa_miệng mà bánh thì lại ngon nữa .,"['FOOD#QUALITY', 'DRINKS#QUALITY']","[{'FOOD#QUALITY': 'positive'}, {'DRINKS#QUALITY': 'positive'}]"
không_gian thoáng_đãng .,['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
"quán có không_gian không đặc_sắc mấy , cũng không sang_trọng hay ấm_cúng , kiểu một quán ăn gia_đình đơn_giản .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'neutral'}]
ngó sơ qua menu thấy có món chizza mới này nên order phần combo người gồm chizza miếng gà giòn cay gà viên khoái tây chiên pepsi .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
"đồ_ăn mình thấy về cơ_bản cũng ok nhưng cá_nhân mình thì thấy ko quá thích món gì , có_lẽ ko hợp_khẩu vị lắm .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'neutral'}]
"nhân_viên lịch_sự , giá có cả trân_châu trắng .","['SERVICE#GENERAL', 'RESTAURANT#PRICES']","[{'SERVICE#GENERAL': 'positive'}, {'RESTAURANT#PRICES': 'neutral'}]"
"điều đáng mừng là đã bớt ngọt nhưng cốt bánh k ngon , nhiều cái bị khô và bở quá .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'negative'}]
nhân_viên quán trà sữa nhân_viên bất lịch_sự nhất mà mình từng biết .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
"vị ngọt vừa_phải , trà_thơm , trân_châu trắng dai dai .","['DRINKS#QUALITY', 'DRINKS#STYLE&OPTIONS']","[{'DRINKS#QUALITY': 'positive'}, {'DRINKS#STYLE&OPTIONS': 'neutral'}]"
"nếu muốn uống tại quán thì nên đi bộ , vì phí gửi xe là k .",['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'negative'}]
mình cực_kì ấn_tượng với nhân_viên và quản_lý của quán luôn .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"không_gian noel mà cái decor của quán không có một miếng noel luôn á , không_gian nho_nhỏ ấm_áp cũng hơi vintage xíu , sống ảo cũng được .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'neutral'}]
hôm mình đi có giảm_giá k miếng và mỗi người đc mua miếng thế nên đi thử .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'positive'}]
"vị_trí ngay mặt_cắt giao quán thánh cửa bắc nha , chéo chéo so với thcs nguyễn_tri phương 🤔 .",['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'neutral'}]
đồ_ăn không quá đặc_sắc nhưng ăn cũng tạm ổn .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'neutral'}]
có chỗ giữ xe bên lề quán ổn .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'positive'}]
nước uống thêm lon nước nữa là ok .,['DRINKS#STYLE&OPTIONS'],[{'DRINKS#STYLE&OPTIONS': 'neutral'}]
"mình gọi tô phở tái , có giá là . đ , mình cũng đã up menu cho các bạn , giá ở đây khá đắt so với những chỗ khác , nhưng mình ko đánh_giá cao chất_lượng .","['FOOD#PRICES', 'RESTAURANT#PRICES', 'RESTAURANT#GENERAL']","[{'FOOD#PRICES': 'neutral'}, {'RESTAURANT#PRICES': 'negative'}, {'RESTAURANT#GENERAL': 'neutral'}]"
phục_vụ hơi chậm nhưng lịch_sự và lễ_phép .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'neutral'}]
tóm_lại kg bao_giờ ghé .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'negative'}]
quán bán cũng khá nhiều các món tây ngoài steak .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
"món cơm thổ ăn lạ_miệng , ngọt ngọt vị nho khô .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
chất_lượng mỗi khi thèm matcha là nghĩ ngay đến morico .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
thực_sự là bạn í làm quaaaa tuyệt_vời .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"trang_trí quán chưa được đẹp lắm đối_với đứa selfie everywhere như mình thì hơi quan_trọng yếu_tố này , hi_vọng quán sẽ cải_thiện , có_thể do mới ra nên vẫn chưa hoàn_thiện hết các khâu được .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'neutral'}]
"vị_trí dễ kiếm , quán ngay gần đầu lê_ngô cát giao với điện_biên_phủ lê_ngô cát là con đường nhỏ song_song cạnh cmt , nằm trong khúc đường ngô thời nhiệm á .",['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'positive'}]
"vì lần đtien uống ts loại này , nên cũng thấy k có j ngon hay đặv sắc cả , lại còn hết các loại tchau , còn mỗi pudding nên uống chả ra sao cả í .","['DRINKS#QUALITY', 'DRINKS#STYLE&OPTIONS']","[{'DRINKS#QUALITY': 'negative'}, {'DRINKS#STYLE&OPTIONS': 'negative'}]"
quán đông nhưng phục_vụ thì nhanh cực_kỳ .,"['RESTAURANT#GENERAL', 'SERVICE#GENERAL']","[{'RESTAURANT#GENERAL': 'neutral'}, {'SERVICE#GENERAL': 'positive'}]"
"thịt bò ngon , các món còn lại chắc mình ko hợp vị lắm",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
cơ_mà cũng gần chỗ mình học nên có dịp sẽ ghé lại thử .,['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'positive'}]
"nọi thứ ở đây nhìn rất lũuary , trang_trí rất đẹp_mắt .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
nhìn vậy chứ nhiều phết và no phết .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
"quán có tầng lận và điều mình ấn_tượng là mỗi tầng được xây theo phong_cách khác nhau , bày trí khác nhau .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
điều dtien fai thốt lên khi vào đây là quán đẹp đến từng millimet .,['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
"một phần nhưng ko có kèm bánh_mì , muốn ăn phải gọi thêm k ổ .","['FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#PRICES': 'neutral'}]"
ăn xong còn có chè ăn tráng_miệng .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
mình đi lúc giờ ăn trưa nên quán cũng khá đông nhưng phục_vụ nhanh .,"['RESTAURANT#GENERAL', 'SERVICE#GENERAL']","[{'RESTAURANT#GENERAL': 'neutral'}, {'SERVICE#GENERAL': 'positive'}]"
người mà hết tr mấy hên là có giảm_giá mà thấy chắc tháng ghé lần thôi nhưng chất_lượng xứng_đáng với tiền bỏ ra .,"['RESTAURANT#PRICES', 'RESTAURANT#GENERAL']","[{'RESTAURANT#PRICES': 'neutral'}, {'RESTAURANT#GENERAL': 'positive'}]"
tuy_nhiên nếu đi đại_gia_đình và sở thix ăn ún của mọi nguoi lại khác nhau thì vào đây sẽ dễ chọn_lựa món ăn hơn .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
cảm_nhận đầu_tiên về nhà_hàng là thiết_kế cả trong lẫn ngoài mang phong_cách cổ_điển lẫn hiện_đại đậm chất văn_hoá việt .,['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
mình gọi trà đào váng sữa trân_châu trắng và toast trà sữa thái .,['DRINKS#STYLE&OPTIONS'],[{'DRINKS#STYLE&OPTIONS': 'neutral'}]
"gongcha order nước hơi lâu , khu_vực làm trà sữa mình thấy k vừa_mắt cho lắm , nước uống tạm ổn .","['DRINKS#QUALITY', 'SERVICE#GENERAL', 'AMBIENCE#GENERAL']","[{'DRINKS#QUALITY': 'neutral'}, {'SERVICE#GENERAL': 'negative'}, {'AMBIENCE#GENERAL': 'negative'}]"
"tôm_sú chắc thịt lắm nha , to nữa .",['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
được_cái đông khách nhưng chả bao_giờ phải đợi lâu đâu .,"['RESTAURANT#GENERAL', 'SERVICE#GENERAL']","[{'RESTAURANT#GENERAL': 'positive'}, {'SERVICE#GENERAL': 'positive'}]"
"mọi lần gọi nồi to vì ăn đông người , trog nồi sẽ có mấy con cua .",['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
"nhà mình đi ăn có , người , gọi đồ cũng vừa vừa mà ăn hết hơn triệu .",['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'negative'}]
món này cũng ngon nè .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
từ lúc mở cho đến khi đóng luôn_luôn full khách .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
thức_ăn vặt rồi trà sữa rất ngon tuyệt lắm .,"['FOOD#QUALITY', 'DRINKS#QUALITY']","[{'FOOD#QUALITY': 'positive'}, {'DRINKS#QUALITY': 'positive'}]"
"pizza hải_sản có tôm , thanh cua với mực là rõ vị nhất , phomai có lớp lỏng , ăn cũng đc , khá thơm và ngon nhưng mình ko hảo hải_sản lắm .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#QUALITY': 'positive'}]"
"vị_trí chỗ này trong hem nhung cũng dễ tìm lắm , cư theo địa_chỉ đi tới là thấy à .",['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'positive'}]
thiệt_hại .,['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'neutral'}]
"đồ_ăn ngon , rộng_rãi , nhân_viên phục_vụ tốt , nhà_hàng đông nên đợi đồ hơi lâu chút .","['FOOD#QUALITY', 'AMBIENCE#GENERAL', 'SERVICE#GENERAL', 'RESTAURANT#GENERAL']","[{'FOOD#QUALITY': 'positive'}, {'AMBIENCE#GENERAL': 'positive'}, {'SERVICE#GENERAL': 'positive'}, {'RESTAURANT#GENERAL': 'neutral'}]"
"không_gian quán vừa_phải , mà mình thấy hơi nóng do đi người nên phải ngồi trong góc .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'negative'}]
"tầng trệt , tầng trệt aeon mall tân_phú , bờ bao tân_thắng , p . sơn kỳ , .",['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'neutral'}]
một điều hong thích là đặt món mà tính phí phục_vụ là khá là bùn luôn .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'negative'}]
"tụi mình gọi phần top blade gr sốt tiêu sốt vang đỏ , cream brulee , lava chocolate , thêm khăn nữa tổng thiệt_hại là mà có voucher nên chỉ trả thêm thui , ăn sang chảnh mà tính ra lời quá hen","['RESTAURANT#MISCELLANEOUS', 'FOOD#STYLE&OPTIONS', 'RESTAURANT#PRICES']","[{'RESTAURANT#MISCELLANEOUS': 'positive'}, {'FOOD#STYLE&OPTIONS': 'neutral'}, {'RESTAURANT#PRICES': 'neutral'}]"
"nhân_viên lịch_sự , thân_thiện , nhanh_nhẹn nữa .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
không_gian quán cũng khá đẹp .,['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
"nói_chung cả loại thì mình thích mochi nhất , cho , loại bánh còn lai đồng hạng .","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'positive'}, {'FOOD#STYLE&OPTIONS': 'neutral'}]"
soda chanh thử rồi thấy okay .,['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
trà ô long hoa_hồng kem cheese k ly này mình uống cảm_thấy đúng chán haiz lần đầu_tiên bỏ hơn nửa ly .,"['DRINKS#QUALITY', 'DRINKS#PRICES']","[{'DRINKS#QUALITY': 'negative'}, {'DRINKS#PRICES': 'neutral'}]"
nhưng khoai nghiền riêng mình và ng yêu thấy khá khô và ngán .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'negative'}]
sốt kem béo vừa_phải không gây ngán .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
"không_gian trang_trí đơn_giản , đẹp .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
nhân_viên lễ_phép và hướng_dẫn chu_đáo .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
wifi thì siêu yếu luôn .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'negative'}]
ăn xong no luôn được .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
thêm trân_châu tím nữa là số_dách luôn .,"['DRINKS#STYLE&OPTIONS', 'DRINKS#QUALITY']","[{'DRINKS#STYLE&OPTIONS': 'neutral'}, {'DRINKS#QUALITY': 'positive'}]"
bánh vừa ngon vừa đẹp_mắt không thử hơi phí .,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'positive'}, {'FOOD#STYLE&OPTIONS': 'positive'}]"
"xe đẩy nằm ngay lề_đường cao thắng , khá to và dễ tìm .","['LOCATION#GENERAL', 'AMBIENCE#GENERAL']","[{'LOCATION#GENERAL': 'positive'}, {'AMBIENCE#GENERAL': 'positive'}]"
"giá_cả tạm ổn , không mắc không rẻ , quán mát_mẻ , không ồn_ào .","['AMBIENCE#GENERAL', 'RESTAURANT#PRICES']","[{'AMBIENCE#GENERAL': 'positive'}, {'RESTAURANT#PRICES': 'neutral'}]"
chỉ có cuối tuần mới ghé qua bún cá trứ_danh phố nguyễn_thái học vì mới rảnh_rang thời_gian mà đợi_chờ .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
vì nghe nói quán_từ phục_vụ đến nước uống đầu rất tuyệt .,"['SERVICE#GENERAL', 'DRINKS#QUALITY']","[{'SERVICE#GENERAL': 'positive'}, {'DRINKS#QUALITY': 'positive'}]"
đi qua là thấy liền .,['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'positive'}]
sẽ quay lại và giới_thiệu thêm cho bạn_bè .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
"mực chiên nóng giòn , chấm sốt tarta chua_chua ăn đỡ ngán .","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'positive'}, {'FOOD#STYLE&OPTIONS': 'neutral'}]"
"phục_vụ tốt , đến ăn thử để đặt tiệc và thấy rất ok .","['SERVICE#GENERAL', 'RESTAURANT#GENERAL']","[{'SERVICE#GENERAL': 'positive'}, {'RESTAURANT#GENERAL': 'positive'}]"
giữ xe hẻm nhỏ bên cạnh hơi khó dắt xíu .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'negative'}]
nhân_viên chuyên_nghiệp và chu_đáo .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
địa_điểm duy_nhất cao_lầu quá ngon .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
nhân_viên thì lịch_sự nhưng không vui_vẻ mấy chắc do áp_lực công_việc .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'neutral'}]
"trà lựu chua_ngọt vừa_phải , có thêm hạt thuỷ_tinh vị lựu thì_phải , ăn cũng ngon .","['DRINKS#STYLE&OPTIONS', 'DRINKS#QUALITY']","[{'DRINKS#STYLE&OPTIONS': 'positive'}, {'DRINKS#QUALITY': 'positive'}]"
"gà không xương sốt cay phần_lớn gà có lớp ngoài giòn , thấm vị , lúc mới_đầu ăn thì thấy bình_thường nhưng đợi một hồi thì thấy cay the lưỡi luôn .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"riêng hải_sản thì chắc để đông_lạnh lâu nên không tươi , có ốc còn bị cát .","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'negative'}, {'FOOD#STYLE&OPTIONS': 'neutral'}]"
